"gene" "num_prom" "active_prom_num" "active_prom_perc" "num_ex" "active_ex_num" "active_ex_perc" "num_enh" "active_enh_num" "active_enh_perc" "expr_num" "expr_perc"
"A1BG" "A1BG" 1 4061 0.379852212141053 0 0 0 3 5225 0.488728837339819 688 0.0643531942755589
"A2M" "A2M" 1 109 0.0101954915349359 0 0 0 3 1727 0.161537742026003 1347 0.125993826583107
"A3GALT2" "A3GALT2" 1 291 0.0272191562996913 0 0 0 1 1109 0.103732111121504 19 0.00177719577214479
"AAAS" "AAAS" 1 4551 0.425685155738472 0 0 0 4 5362 0.501543354223178 374 0.0349826957253765
"AACS" "AACS" 1 2947 0.275652417921616 0 0 0 5 7992 0.747544663735853 272 0.0254419605275465
"AADAT" "AADAT" 1 77 0.00720231970816575 0 0 0 0 0 0 2 0.000187073239173136
"AAK1" "AAK1" 1 3891 0.363950986811337 0 0 0 0 0 0 6359 0.594799363950987
"AAMDC" "AAMDC" 1 6087 0.56935740342344 1 81 0.00757646618651202 1 2247 0.210176784211019 809 0.0756711252455336
"AAMP" "AAMP" 1 7227 0.675989149752128 0 0 0 4 8722 0.815826396034047 1240 0.115985408287344
"AAR2" "AAR2" 1 1386 0.129641754746983 0 0 0 0 0 0 508 0.0475166027499766
"AARD" "AARD" 1 156 0.0145917126555046 0 0 0 0 0 0 0 0
"AARS1" "AARS1" 1 4721 0.441586381068188 0 0 0 3 6375 0.596295949864372 0 0
"AARS2" "AARS2" 1 2899 0.271162660181461 0 0 0 2 1687 0.15779627724254 294 0.027499766158451
"AARSD1" "AARSD1" 1 3152 0.294827424936863 0 0 0 1 1462 0.136750537835563 620 0.0579927041436722
"AASDH" "AASDH" 1 4252 0.397717706482088 0 0 0 1 1472 0.137685904031428 738 0.0690300252548873
"AASDHPPT" "AASDHPPT" 1 6730 0.629501449817604 0 0 0 0 0 0 578 0.0540641661210364
"AASS" "AASS" 1 1451 0.13572163502011 0 0 0 0 0 0 103 0.00963427181741652
"AATF" "AATF" 1 6015 0.562622766813207 0 0 0 0 0 0 1780 0.166495182864091
"AATK" "AATK" 1 537 0.0502291647179871 0 0 0 24 6225 0.582265456926387 320 0.0299317182677018
"ABAT" "ABAT" 1 4267 0.399120755775886 1 92 0.00860536900196427 1 1201 0.112337480123468 760 0.0710878308857918
"ABCA1" "ABCA1" 1 1307 0.122252361799645 1 145 0.0135628098400524 28 3764 0.352071836123842 635 0.0593957534374708
"ABCA2" "ABCA2" 1 3910 0.365728182583481 0 0 0 13 9169 0.857637264989243 548 0.0512580675334393
"ABCA3" "ABCA3" 1 5387 0.503881769712843 1 154 0.0144046394163315 3 6020 0.56309044991114 318 0.0297446450285287
"ABCA5" "ABCA5" 1 5334 0.498924328874754 0 0 0 0 0 0 986 0.0922271069123562
"ABCA7" "ABCA7" 2 6092 0.569825086521373 1 1889 0.176690674399027 28 10060 0.940978393040875 1081 0.10111308577308
"ABCB1" "ABCB1" 1 661 0.0618277055467215 0 0 0 0 0 0 625 0.0584603872416051
