"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"A1BG" "A1BG" 0.436828081585754 0.0698978383834392
"A2M" "A2M" -0.252175670736594 0.312725567065635
"A3GALT2" "A3GALT2" -0.120110376531106 0.634982014446482
"AAAS" "AAAS" 0.511963268283693 0.0298555060411996
"AACS" "AACS" 0.734071395830126 0.000523844304878001
"AADAT" "AADAT" -0.148911540171979 0.55537454128853
"AAK1" "AAK1" 0.594255966061274 0.00930374520714333
"AAMDC" "AAMDC" 0.814424811386084 3.87932978545846e-05
"AAMP" "AAMP" 0.386329199025728 0.113286584315236
"AAR2" "AAR2" 0.84741530567172 9.04804323953466e-06
"AARD" "AARD" NA NA
"AARS2" "AARS2" 0.673822075638337 0.00216906964579347
"AARSD1" "AARSD1" 0.859295012913671 4.92055817494803e-06
"AASDH" "AASDH" 0.823294557690999 2.70105913123122e-05
"AASDHPPT" "AASDHPPT" 0.576204592264434 0.012321495965519
"AASS" "AASS" 0.350967240082189 0.153283127933367
"AATF" "AATF" 0.871434529063186 2.48821863838891e-06
"AATK" "AATK" 0.849412248430188 8.1970928323962e-06
"ABAT" "ABAT" 0.512975971547023 0.0294783506090743
"ABCA1" "ABCA1" 0.776824032979062 0.000149408327885412
"ABCA2" "ABCA2" 0.629876808060762 0.00508606355152375
"ABCA3" "ABCA3" 0.424230313130746 0.0793248690931533
"ABCA5" "ABCA5" 0.804074280549139 5.78320735395324e-05
"ABCA7" "ABCA7" 0.799878339925609 6.75499036838361e-05
"ABCB1" "ABCB1" 0.777409422329358 0.000146594994379159
"ABCB10" "ABCB10" 0.424688161977677 0.0789667531748408
"ABCB4" "ABCB4" 0.965327761734476 9.41911183253062e-11
"ABCB6" "ABCB6" 0.634961742632646 0.00463848273161015
"ABCB7" "ABCB7" 0.831225635807926 1.92093498047948e-05
"ABCB9" "ABCB9" 0.0984712192605723 0.697474205516983
"ABCC1" "ABCC1" 0.788602755546746 0.000100795935439662
"ABCC10" "ABCC10" 0.544111072971368 0.0195758028690334
"ABCC3" "ABCC3" 0.858653236021865 5.0921990674904e-06
"ABCC4" "ABCC4" 0.773111700029543 0.000168334365614086
"ABCC5" "ABCC5" 0.761181954281981 0.000243452985774904
"ABCD2" "ABCD2" 0.615456593873816 0.00654971902114747
"ABCD3" "ABCD3" 0.686133092478044 0.00166607324747481
"ABCD4" "ABCD4" 0.856602953397915 5.67543482787881e-06
"ABCE1" "ABCE1" 0.560512833142709 0.0155374077392535
"ABCF1" "ABCF1" 0.796242304045249 7.70606167818886e-05
"ABCF2" "ABCF2" 0.688437109090261 0.00158364266798724
"ABCF3" "ABCF3" 0.361008269303873 0.141063224829976
"ABCG1" "ABCG1" 0.799318011451002 6.89469354066098e-05
"ABCG2" "ABCG2" 0.493224987850093 0.037532301263085
"ABCG4" "ABCG4" 0.172203289774229 0.494430979190257
"ABHD1" "ABHD1" 0.370571680926781 0.130068776499922
"ABHD10" "ABHD10" 0.673659163170853 0.00217648157349441
"ABHD11" "ABHD11" 0.384340375675713 0.115315059584851
"ABHD12" "ABHD12" 0.738635644903528 0.000463399198842019
"ABHD12B" "ABHD12B" 0.327273065648851 0.184945569065288
"ABHD14B" "ABHD14B" 0.759385595847024 0.000256899270869885
"ABHD15" "ABHD15" 0.724920508904637 0.000665068238270685
"ABHD16A" "ABHD16A" 0.590438885588579 0.00988622014830287
"ABHD17A" "ABHD17A" 0.579091498844202 0.0117924911494139
"ABHD17B" "ABHD17B" 0.87950445601983 1.52106990427135e-06
"ABHD17C" "ABHD17C" 0.418555514283659 0.0838629278141076
"ABHD18" "ABHD18" 0.786011550719125 0.000110138539828135
"ABHD2" "ABHD2" 0.723561700782525 0.000688525723100641
"ABHD3" "ABHD3" 0.379054164404703 0.120831643532873
"ABHD4" "ABHD4" 0.667993548049017 0.00244755730984573
"ABHD5" "ABHD5" 0.473693065103105 0.047059413033673
"ABHD6" "ABHD6" 0.312266006669985 0.207107966149652
"ABHD8" "ABHD8" 0.735582347098916 0.000503143602633724
"ABI1" "ABI1" 0.810533810235923 4.5202255045229e-05
"ABI2" "ABI2" 0.729644801479377 0.000588642736406997
"ABL1" "ABL1" 0.864899657415764 3.62087862264265e-06
"ABL2" "ABL2" 0.92856487081574 2.72065041361121e-08
"ABLIM1" "ABLIM1" 0.730186172533972 0.000580374980880207
"ABLIM2" "ABLIM2" 0.670032280113616 0.00234698217979307
"ABLIM3" "ABLIM3" -0.00209786854871655 0.993408376229905
"ABO" "ABO" 0.304928562675674 0.218550627183066
"ABR" "ABR" 0.62695933881967 0.00535832910698487
"ABRACL" "ABRACL" 0.563940415239048 0.0147837400228331
"ABRAXAS1" "ABRAXAS1" 0.385083313412023 0.114554318400224
"ABRAXAS2" "ABRAXAS2" 0.752652239892149 0.000313010501099352
"ABT1" "ABT1" 0.475119020460597 0.0463074466268652
"ABTB1" "ABTB1" 0.263174564768176 0.291360699142342
"ABTB2" "ABTB2" 0.352025551621144 0.151962065460608
"ACAA1" "ACAA1" 0.552318101709828 0.0174630463858925
"ACAA2" "ACAA2" 0.669374921303584 0.00237903198441682
"ACACA" "ACACA" 0.656337758700434 0.00309309223509473
"ACAD9" "ACAD9" 0.748068824215119 0.00035683018971417
"ACADS" "ACADS" 0.54329259173968 0.0197970681673889
"ACAP1" "ACAP1" 0.87948537449579 1.52290288275535e-06
"ACAP2" "ACAP2" 0.815774719886558 3.67589745812159e-05
"ACAP3" "ACAP3" 0.460099656283721 0.0547006711405853
"ACAT1" "ACAT1" 0.661536755372931 0.00278978193110437
"ACAT2" "ACAT2" 0.649017880686642 0.0035655406212678
"ACBD3" "ACBD3" 0.840347020986289 1.26965077473733e-05
"ACBD4" "ACBD4" 0.432873653918926 0.0727626748008557
"ACBD5" "ACBD5" 0.769525859330393 0.00018850102041522
"ACBD6" "ACBD6" 0.861327021760202 4.40945130567746e-06
"ACBD7" "ACBD7" 0.0639309930905419 0.801024760431676
"ACCS" "ACCS" 0.468122427384415 0.0500860882492486
"ACD" "ACD" 0.527637453752738 0.0244210553000923
"ACE" "ACE" 0.293349242028517 0.23742711377387
"ACER2" "ACER2" 0.70906779750239 0.000984811705778482
"ACER3" "ACER3" 0.743045321349021 0.00041066932171279
"ACHE" "ACHE" 0.752731029957453 0.000312298795545724
"ACIN1" "ACIN1" 0.768943798189749 0.000191959465229784
"ACKR3" "ACKR3" -0.0945870653988169 0.708904354465534
"ACLY" "ACLY" 0.730164993224825 0.000580696591496138
"ACO1" "ACO1" 0.454895356967227 0.0578605225846295
"ACOD1" "ACOD1" -0.153915755163445 0.54200729951521
"ACOT11" "ACOT11" 0.559825649600082 0.0156921088012433
"ACOT12" "ACOT12" 0.618247036928711 0.00624269596958562
"ACOT2" "ACOT2" 0.475222634037247 0.0462531644505045
"ACOT4" "ACOT4" 0.3405391211408 0.16672294966786
"ACOT7" "ACOT7" 0.598215935189034 0.00872894332856644
"ACOT8" "ACOT8" 0.534135993589412 0.0224090222711087
"ACOT9" "ACOT9" 0.803634631476719 5.87910042647338e-05
"ACOX1" "ACOX1" 0.553344669436058 0.0172119866011798
"ACOX3" "ACOX3" 0.868609282928457 2.93345989099025e-06
"ACOXL" "ACOXL" 0.229551361037389 0.359506100180695
"ACP2" "ACP2" 0.304184859820903 0.219732826948371
"ACP5" "ACP5" 0.844386530446697 1.04828159502379e-05
"ACP6" "ACP6" 0.513717221399527 0.0292046403804543
"ACP7" "ACP7" -0.259337674841481 0.298710536586435
"ACRBP" "ACRBP" 0.457312943656364 0.0563760849017171
"ACSF2" "ACSF2" 0.37460449892146 0.125617520368469
"ACSF3" "ACSF3" 0.614403346220859 0.00666873515432705
"ACSL1" "ACSL1" 0.916689211189818 8.96225987748594e-08
"ACSL3" "ACSL3" 0.812544430987438 4.17864135427166e-05
"ACSL4" "ACSL4" 0.632148451000722 0.00488195766929602
"ACSL5" "ACSL5" 0.751082819387163 0.000327473985261718
"ACSL6" "ACSL6" 0.830571393598107 1.97699432853745e-05
"ACSM3" "ACSM3" 0.796111937855849 7.7421692635782e-05
"ACSS1" "ACSS1" 0.501195261742371 0.0341011515974856
"ACSS2" "ACSS2" 0.886443700509301 9.68094084476849e-07
"ACTA2" "ACTA2" 0.735908827077245 0.000498761988235668
"ACTB" "ACTB" 0.402295570031498 0.0979128732437357
"ACTG1" "ACTG1" 0.301242437007501 0.224450687294194
"ACTL10" "ACTL10" 0.205064793654967 0.414336496997305
"ACTL6A" "ACTL6A" 0.760641476799159 0.000247434699938816
"ACTL6B" "ACTL6B" -0.125075578742726 0.620950183321636
"ACTN1" "ACTN1" 0.920782320689631 6.06883170065192e-08
"ACTN2" "ACTN2" 0.0851709394049887 0.736856320932253
"ACTN4" "ACTN4" 0.535582027531732 0.0219795139171083
"ACTR10" "ACTR10" 0.650671045803771 0.00345398995794492
"ACTR1A" "ACTR1A" 0.596861153269409 0.00892228326024722
"ACTR2" "ACTR2" 0.786554950111609 0.000108120807445928
"ACTR3" "ACTR3" 0.604813162531119 0.00783505387640277
"ACTR3B" "ACTR3B" 0.915190395573932 1.02865707659184e-07
"ACTR3C" "ACTR3C" 0.651312508793781 0.00341148343264833
"ACTR5" "ACTR5" 0.768992462152787 0.000191668279955142
"ACTR6" "ACTR6" 0.778684054588481 0.000140623891035285
"ACTR8" "ACTR8" 0.782064091086719 0.000125777018105074
"ACTRT3" "ACTRT3" 0.0545143209255306 0.829892530612299
"ACVR1" "ACVR1" 0.814318455910395 3.89575733463532e-05
"ACVR1B" "ACVR1B" 0.466133551366498 0.0512015783073898
"ACVR1C" "ACVR1C" 0.651130127772804 0.00342352505181675
"ACVR2A" "ACVR2A" 0.895710775374085 5.04948983992121e-07
"ACVR2B" "ACVR2B" 0.758613111468531 0.000262871012007338
"ACVRL1" "ACVRL1" 0.770875011352253 0.000180686547252834
"ACY1" "ACY1" 0.121581031500266 0.630813268048937
