"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"A1BG" "A1BG" 0.478650607246364 0.0444843633483341
"A2M" "A2M" -0.293829646603412 0.236623955302481
"A3GALT2" "A3GALT2" -0.0512424883673599 0.839973324627152
"AAAS" "AAAS" 0.391350865227635 0.1082778859249
"AACS" "AACS" 0.689193220596573 0.00155733932375236
"AADAT" "AADAT" NA NA
"AAK1" "AAK1" NA NA
"AAMDC" "AAMDC" 0.241473690446479 0.334381963687271
"AAMP" "AAMP" 0.592259732921237 0.00960482054736697
"AAR2" "AAR2" NA NA
"AARD" "AARD" NA NA
"AARS2" "AARS2" 0.627041514578414 0.00535050140372744
"AARSD1" "AARSD1" 0.647837324704447 0.00364699274630693
"AASDH" "AASDH" 0.435348464345407 0.0709598152612152
"AASDHPPT" "AASDHPPT" NA NA
"AASS" "AASS" NA NA
"AATF" "AATF" NA NA
"AATK" "AATK" 0.911706496613839 1.40365469569185e-07
"ABAT" "ABAT" 0.461068258058819 0.0541271925274235
"ABCA1" "ABCA1" 0.793810459134556 8.40367692363669e-05
"ABCA2" "ABCA2" 0.628257155862741 0.00523578669909151
"ABCA3" "ABCA3" 0.648927042954732 0.00357175456114783
"ABCA5" "ABCA5" NA NA
"ABCA7" "ABCA7" 0.421099164804971 0.0818059542065536
"ABCB1" "ABCB1" NA NA
"ABCB10" "ABCB10" -0.0034991009805594 0.989005824437547
"ABCB4" "ABCB4" NA NA
"ABCB6" "ABCB6" 0.519849581071048 0.0270151253397648
"ABCB7" "ABCB7" NA NA
"ABCB9" "ABCB9" 0.0257017358184621 0.919367164204408
"ABCC1" "ABCC1" 0.560246597814504 0.015597199388542
"ABCC10" "ABCC10" 0.43380744076695 0.0720784993208466
"ABCC3" "ABCC3" 0.678277372588933 0.00197429325667252
"ABCC4" "ABCC4" NA NA
"ABCC5" "ABCC5" NA NA
"ABCD2" "ABCD2" 0.620334410245975 0.00602074435345786
"ABCD3" "ABCD3" NA NA
"ABCD4" "ABCD4" 0.787019018164954 0.000106422531045849
"ABCE1" "ABCE1" NA NA
"ABCF1" "ABCF1" 0.697608264629727 0.00128822290453149
"ABCF2" "ABCF2" 0.48991846506996 0.0390310101515044
"ABCF3" "ABCF3" NA NA
"ABCG1" "ABCG1" 0.687303739434374 0.00162375837002407
"ABCG2" "ABCG2" NA NA
"ABCG4" "ABCG4" 0.249937661436664 0.317183790305141
"ABHD1" "ABHD1" 0.358333596745203 0.144249989986311
"ABHD10" "ABHD10" 0.324537267333554 0.188862426916783
"ABHD11" "ABHD11" 0.529843480249048 0.0237228342245101
"ABHD12" "ABHD12" -0.0926433232558059 0.71464679426937
"ABHD12B" "ABHD12B" NA NA
"ABHD14B" "ABHD14B" 0.754333470724658 0.000298116719450392
"ABHD15" "ABHD15" 0.201440407102041 0.422812550287959
"ABHD16A" "ABHD16A" 0.226624753443381 0.36583259548916
"ABHD17A" "ABHD17A" 0.526662308500984 0.0247347630682709
"ABHD17B" "ABHD17B" 0.135055822583135 0.593122925029738
"ABHD17C" "ABHD17C" NA NA
"ABHD18" "ABHD18" NA NA
"ABHD2" "ABHD2" -0.122503612896051 0.628203494358482
"ABHD3" "ABHD3" -0.100590932645378 0.691262249182316
"ABHD4" "ABHD4" 0.108586912383865 0.668000728309067
"ABHD5" "ABHD5" -0.185057762250041 0.462245467106567
"ABHD6" "ABHD6" 0.15381457800459 0.5422761207287
"ABHD8" "ABHD8" 0.354300765933639 0.149148504280773
"ABI1" "ABI1" -0.144541341195877 0.567165604639028
"ABI2" "ABI2" -0.0933077487239854 0.712682209086961
"ABL1" "ABL1" 0.198398441047717 0.429996651038238
"ABL2" "ABL2" 0.826718751867877 2.33629896423007e-05
"ABLIM1" "ABLIM1" 0.870786614206425 2.58481705268914e-06
"ABLIM2" "ABLIM2" 0.592923503610881 0.00950385381229722
"ABLIM3" "ABLIM3" NA NA
"ABO" "ABO" 0.365104601365829 0.13627779096022
"ABR" "ABR" 0.671974768238705 0.00225434771364642
"ABRACL" "ABRACL" 0.192357293347137 0.444451491861643
"ABRAXAS1" "ABRAXAS1" 0.0382629028519027 0.880184145302691
"ABRAXAS2" "ABRAXAS2" 0.486557683396426 0.0406008376562692
"ABT1" "ABT1" 0.531557899751479 0.0231910678240219
"ABTB1" "ABTB1" 0.434007266623993 0.0719327083786301
"ABTB2" "ABTB2" -0.159714202724159 0.526702355479286
"ACAA1" "ACAA1" NA NA
"ACAA2" "ACAA2" NA NA
"ACACA" "ACACA" 0.27874319225923 0.262675997471407
"ACAD9" "ACAD9" 0.443935325365112 0.0649600067493259
"ACADS" "ACADS" 0.235246221666186 0.347374799715854
"ACAP1" "ACAP1" 0.927577190493357 3.0269554088007e-08
"ACAP2" "ACAP2" 0.155605756952538 0.537525969539008
"ACAP3" "ACAP3" 0.242974427059643 0.33129374414974
"ACAT1" "ACAT1" 0.338065632686375 0.170024357350185
"ACAT2" "ACAT2" 0.406883402010258 0.0937881378766557
"ACBD3" "ACBD3" 0.53780276206687 0.0213324955520855
"ACBD4" "ACBD4" 0.537397276180591 0.0214495055174301
"ACBD5" "ACBD5" NA NA
"ACBD6" "ACBD6" NA NA
"ACBD7" "ACBD7" 0.285788537402267 0.250296210199746
"ACCS" "ACCS" NA NA
"ACD" "ACD" 0.803532810222648 5.90150071951579e-05
"ACE" "ACE" NA NA
"ACER2" "ACER2" NA NA
"ACER3" "ACER3" 0.448100076772377 0.062189845652669
"ACHE" "ACHE" 0.0447187897193457 0.860142830674572
"ACIN1" "ACIN1" 0.701795445883342 0.00116945212862811
"ACKR3" "ACKR3" 0.0125617387328345 0.960544416825335
"ACLY" "ACLY" 0.414374457759832 0.0873256856262129
"ACO1" "ACO1" NA NA
