"gene" "PcorAgg" "PcorAgg_pvalue" "PcorAvg" "PcorAvg_pvalue" "PcorAvg_m" "PcorAvg_m_pvalue" "PcorAvg_m_log" "PcorAvg_m_log_pvalue" "PcorMed_m" "PcorMed_m_pvalue" "PcorMed_m_log" "PcorMed_m_log_pvalue"
"8" "AAMDC" 0.955591873680297 1.8932399218954e-10 0.351304781167493 0.140258158563938 0.184234990601579 0.46427334110436 0.619312854200382 0.00468897647878056 NA NA NA NA
"19" "ABAT" 0.751508448489299 0.000207637996985238 -0.393847027163662 0.0952328086262013 0.419784742320889 0.0828642265150733 0.0996262303807731 0.684895959721379 NA NA NA NA
"20" "ABCA1" 0.864906427592059 1.76574376148494e-06 0.728364270071998 0.00040580541259406 0.583277822273894 0.0110577710639291 0.762843509803505 0.000145643747081265 NA NA NA NA
"22" "ABCA3" 0.687282170212991 0.00114889902960896 -0.156640848284393 0.521912213559794 0.348678267626181 0.156167290685954 -0.108694741628398 0.657808625152527 NA NA NA NA
"24" "ABCA7" 0.893705858569559 2.54697099503166e-07 0.172405525552644 0.480317187891608 0.858182748480301 5.22127163618098e-06 0.235778342810249 0.331172131889037 NA NA NA NA
"26" "ABCB10" 0.949301007799053 5.71371086494954e-10 -0.514787392634347 0.0241128242064786 -0.0354565958100314 0.888918255337457 -0.115938512531275 0.636459354521861 NA NA NA NA
"28" "ABCB6" 0.452712237773741 0.0516162028532059 -0.314761493862378 0.189341165935387 0.51813246673279 0.0276148888395862 0.0594308868129449 0.809028589001892 NA NA NA NA
"43" "ABCG1" 0.70934812589365 0.000671130379308488 0.19017720731136 0.43548307762701 0.0979690190191543 0.698948638443366 0.576801330067961 0.00972631058703517 NA NA NA NA
"44" "ABCG2" 0.630532850656223 0.00380113562265973 0.518990076234045 0.0227889724796568 0.89039497478653 7.38694943678751e-07 0.437647292543957 0.0609374768417973 NA NA NA NA
"45" "ABCG4" 0.652942163345918 0.00243852475766076 0.415022886402427 0.0772408662620553 -0.304473818433078 0.219273003721532 0.311117811398462 0.194793984448476 NA NA NA NA
"52" "ABHD15" 0.776871205348585 9.13653236606203e-05 0.711863601400117 0.000629324076393813 0.396849640540316 0.102976871887663 0.645947704105044 0.00281129045468248 0.456435464587638 0.0494892870454775 0.533770665962436 0.0185817712811314
"54" "ABHD17A" 0.629881266319569 0.00384858865686179 0.480181755374516 0.0374535127061779 0.608774526994752 0.00733483004359415 0.439816376555041 0.05952269924268 0 1 0.0937673097297082 0.70259671624129
"62" "ABHD6" 0.402635982745472 0.0874293333253625 -0.655304044037212 0.00232231759351319 0.594004234221743 0.00934128839369429 0.0532909243317591 0.828463127143653 NA NA NA NA
"63" "ABHD8" 0.641515845137522 0.00307100865420626 0.09427737051631 0.701049749510354 0.389346409928323 0.110257831326304 0.533653572632751 0.0186124826032581 NA NA NA NA
"71" "ABO" 0.800941191921516 3.78262794076419e-05 0.437061123395479 0.0613241075118186 0.721331258808047 0.000728528373029916 0.203604863174464 0.403125526386691 NA NA NA NA
"78" "ABTB2" 0.604030071725858 0.00616549190126619 0.1589441477044 0.515731982756046 0.384946877480598 0.11469375606566 0.0957340057377992 0.696638125549728 NA NA NA NA
"96" "ACE" 0.888934655221881 3.63775945905968e-07 0.277405348258837 0.250211105231151 0.319450924163615 0.196290360882717 0.373270547572914 0.115462512468201 NA NA NA NA
"97" "ACER2" 0.854273708979994 3.23713962981253e-06 0.630127997425296 0.00383056287703215 0.21025207682165 0.402364924787762 0.666626756225327 0.00182706399259468 NA NA NA NA
"112" "ACOX1" 0.870814383439918 1.23298376632032e-06 0.154145829411165 0.528645651776708 -0.268720796438681 0.280932356619548 0.163009492328988 0.504908745661576 NA NA NA NA
"113" "ACOX3" 0.916841609774894 3.42752436956183e-08 0.0340667653791825 0.889883250010556 0.133367435347097 0.597794152255961 0.66803101653381 0.00177229799766357 NA NA NA NA
"114" "ACOXL" 0.497263271167468 0.0302977430328501 -0.0478858582265078 0.845651245927918 0.575810644144961 0.0123951289634954 0.089833497458599 0.714564825146587 NA NA NA NA
"117" "ACP6" 0.886995034699827 4.18583324711549e-07 0.640942443518424 0.00310601441106448 0.574136320992549 0.0127120039926125 0.654949601288838 0.00233945749570501 NA NA NA NA
"123" "ACSL3" 0.908301345768595 7.63754071025223e-08 0.124497132232912 0.611585035991177 0.639049867903983 0.00430240220679937 0.468774794104326 0.0429148112216378 NA NA NA NA
"131" "ACTB" 0.864844012676942 1.77229699858316e-06 -0.204871024831026 0.400143668280777 0.393126418130392 0.106545356163586 0.0836323070230618 0.733560372067422 0.257175574123041 0.287823643424883 0.480056845249948 0.0375102517859436
"132" "ACTG1" 0.890372750766352 3.2727960830509e-07 -0.344724621894166 0.148358843345536 0.476196264652269 0.0457454449783043 0.0474903804402401 0.846911585932354 0.350126951749486 0.141684932590512 0.794589793692625 4.82666992644587e-05
"136" "ACTN1" 0.856183351591976 2.91357327306305e-06 0.753332435462754 0.000196366420349374 0.636083010564512 0.00454424532264504 0.852114235714352 3.64010919484684e-06 NA NA NA NA
"144" "ACTR3C" 0.907068268727107 8.51911801186736e-08 0.396744429065095 0.092606390856232 0.854714107190997 6.26258176234674e-06 0.540858807502068 0.0167962735462391 NA NA NA NA
"145" "ACTR5" 0.922478817228885 1.92463552643407e-08 0.290694798859196 0.227287630575056 0.701735127988295 0.00117109600730489 0.602193189180202 0.00636599135004439 NA NA NA NA
"153" "ACVR2B" 0.974823047700978 1.62455527570641e-12 0.834997631241881 8.68462123491795e-06 0.695509594140823 0.00135141872824051 0.79090320234644 5.53914644606359e-05 NA NA NA NA
"156" "ACY3" -0.458834526900433 0.0481545945845022 0.585834445654758 0.00839712850823201 0.781117144179782 0.000129795935658107 0.708390079784938 0.000687655788228398 NA NA NA NA
"163" "ADAM10" 0.928757763509469 9.59364982328435e-09 0.310943674258958 0.195057173797885 0.823031356196392 2.73100241296906e-05 0.758665299646594 0.000166346682009814 0.294174202707276 0.221518623701662 0.255721817744692 0.290653020526924
"164" "ADAM11" 0.57927505575166 0.00934649155294089 0.0637718067982775 0.795352098062433 0.227743180671434 0.363407511484807 0.0435404203080628 0.859518688577404 NA NA NA NA
"165" "ADAM12" 0.952098659221421 3.5607436571751e-10 0.960199010748278 7.5806272992194e-11 -0.241348821887011 0.334639670684959 0.963142356851631 3.98519571213658e-11 NA NA NA NA
"166" "ADAM15" 0.517538451751099 0.0232395925168686 0.14312603793663 0.55885657064578 0.263967727966076 0.289855151129196 0.446102858365337 0.0555619750071606 NA NA NA NA
"169" "ADAM22" 0.942839238815176 1.54926709429066e-09 0.737726192766697 0.000311999996480394 -0.37541525288396 0.124735739500805 0.779338765775675 8.38850798645225e-05 NA NA NA NA
"171" "ADAM28" 0.443948381251202 0.05689623504517 0.542278585854972 0.0164556426241712 0.830763529064265 1.96038790593265e-05 0.699388119828177 0.000860378385794938 NA NA NA NA
"175" "ADAMDEC1" 0.595235785571639 0.00717423053684619 0.199062362199229 0.413922242244914 0.400255407345405 0.0997884678776874 0.333201903999356 0.163315046559487 NA NA NA NA
"177" "ADAMTS10" 0.53846894868403 0.017382304514189 0.607513570855701 0.00579941911973944 0.299022626552996 0.228052812246083 0.716632995998968 0.000556063231571331 NA NA NA NA
"178" "ADAMTS13" 0.815400475765167 2.1002942053637e-05 0.279276060648579 0.246898803950434 0.351382231230857 0.152764169771572 0.175319378814953 0.472813589799053 NA NA NA NA
"184" "ADAMTS6" 0.651126427504751 0.00253110404644448 0.602408022357713 0.00634227079034871 0.848589298534635 8.53906686134486e-06 0.681772055551675 0.00130482006500102 NA NA NA NA
"191" "ADAP2" 0.939280951162022 2.55705975114324e-09 0.776561697447935 9.23425965401721e-05 0.703469999894521 0.00112457429985585 0.798642699902271 4.13547883799615e-05 NA NA NA NA
"200" "ADCY10" 0.184760381836159 0.448910384514172 0.00439449867506739 0.98575475649018 0.670851772802549 0.00230752654617715 0.129410137320439 0.597485700046791 NA NA NA NA
"204" "ADCY5" 0.549868457034144 0.0147268849128383 0.0747093831137003 0.761152692269644 0.0771541087856153 0.760906261450723 0.0805798414795349 0.74296620880582 NA NA NA NA
"208" "ADD1" 0.941784925921741 1.80310398538843e-09 -0.225934796415509 0.352333148140555 0.835867791894039 1.56077174143077e-05 0.288977766340635 0.230170056905743 0.148522131446501 0.543968285009247 0.0711377950138497 0.772276976288849
"209" "ADD2" 0.886297396540462 4.39982120327763e-07 0.900648662376409 1.46972529384891e-07 0.936272664173556 1.11865183526013e-08 0.875307004925797 9.27261129343077e-07 NA NA NA NA
"211" "ADGB" 0.568222174040955 0.0111413557417592 0.438304208994104 0.0605063633936196 0.329183824086875 0.182242323115065 0.510049849116872 0.0256769012823905 NA NA NA NA
"220" "ADGRE3" 0.947770618436754 7.31849785307405e-10 0.793112892504264 5.10204144029866e-05 0.537015850542805 0.021560031562236 0.729988311848586 0.000388008511285618 NA NA NA NA
"223" "ADGRG3" 0.545923558621238 0.0156063039636665 0.485615699836015 0.0350487024702069 0.546168468805779 0.019028203638238 0.516269169295049 0.0236393341867412 NA NA NA NA
"227" "ADGRV1" 0.626292417103777 0.00411878108314254 -0.0546171054386884 0.824256943752443 -0.086424139203776 0.733117133603222 -0.0456737227899684 0.852705582996252 NA NA NA NA
"245" "ADPRH" 0.89947673191697 1.61712850048786e-07 0.844502046866941 5.42712652714071e-06 0.816086247832504 3.63026383787757e-05 0.813846903777063 2.24268009707533e-05 NA NA NA NA
"249" "ADRB1" 0.741070344754253 0.000283292965257138 0.554285549412875 0.0137896931415747 0.597769027531733 0.00879234477895356 0.533934990079988 0.0185387400821372 NA NA NA NA
"257" "AFAP1" 0.898628981703776 1.73163689167665e-07 0.792147416875228 5.28924295373686e-05 0.705590466533466 0.00106980983649175 0.858343595315085 2.5816662320107e-06 NA NA NA NA
"260" "AFF1" 0.937234866067458 3.36531745389144e-09 -0.303036222591746 0.20725866805831 0.852022152262541 7.18904302689872e-06 0.455765052973078 0.0498672501369602 0.573944043183551 0.0101804483689722 0.184107713913986 0.450542490976796
"262" "AFF3" 0.606814935032964 0.00587137532064631 0.82549812928635 1.35053373356933e-05 0.681645729127077 0.00183682672716454 0.860880818958898 2.23411582457416e-06 0.803380372973833 3.43675094576383e-05 0.671213193776821 0.0016532362369727
"270" "AGAP3" 0.88723671135849 4.11384600087336e-07 0.580357871079403 0.00918405600255591 0.244720136285181 0.327722443918638 0.825930582974216 1.32441610512906e-05 NA NA NA NA
"282" "AGO2" 0.95368890714159 2.68702430054478e-10 -0.10819831124165 0.659281296645739 0.0280065627312283 0.912161691732502 0.16458980379426 0.500731038379386 0.121716123890037 0.619624746776518 0.0386936540055918 0.875032410693702
"287" "AGPAT3" 0.893981529740085 2.49377823510182e-07 -0.414361283431821 0.0777617329740418 0.163307664949105 0.517318650468741 -0.01478872793768 0.952084623503284 NA NA NA NA
"291" "AGTPBP1" 0.592723102345549 0.00748587965330462 -0.382277044964412 0.10626195888904 -0.078530554748873 0.756761493262699 -0.144023886502337 0.55636691437935 0.31391104788682 0.190604624052567 0.210192341464908 0.387744270434669
"293" "AHCTF1" 0.777065747406918 9.07555898039479e-05 0.258026537059109 0.286175314319135 0.85520019563884 6.1067154185537e-06 0.5017944959409 0.0285915597310063 0.17063023229633 0.484917544913 0.0775128245201893 0.752452127213815
"296" "AHCYL2" 0.95035608139211 4.79573811373996e-10 0.28085867410574 0.244118504445473 0.848387828087509 8.6246259864532e-06 0.687512422178948 0.00114273931294099 NA NA NA NA
"301" "AHR" 0.772049973132477 0.000107635672171127 0.437524308053414 0.0610184436930154 0.75016672630031 0.000336173397461977 0.471208754057617 0.0417011937018162 0.366666666666667 0.122560599774216 0.220348056772928 0.36468058704243
