"H_H" "H_L" "L_H" "L_L"
"CL_0" 64.6472451897071 3.47732014527471 27.1076423769415 4.76779228807666
"CL_1" 64.43087860289 3.64732246348814 27.3471910980604 4.57460783556139
"CL_2" 64.1526929912681 4.00278185611622 27.0303685959354 4.81415655668032
"CL_3" 63.4881384746156 4.44324240785102 26.721273471911 5.34734564562244
"CL_4" 62.9008577389692 5.00734100919558 26.1185379800634 5.97326327177189
"CL_5" 64.4540607371919 3.67050459778997 26.9144579244262 4.96097674059192
"CL_6" 58.0017000231821 10.076501043196 21.4898384977977 10.4319604358241
"CL_7" 61.1158333977281 6.71509156943049 24.9053396182675 7.26373541457384
"CL_8" 62.4913066996368 5.6100765010432 25.4385287072096 6.46008809211035
"CL_9" 58.6353450274322 9.25739896453133 22.316667954563 9.79058805347346
"CL_10" 60.7912835175025 7.18646163356773 23.9857816242949 8.03647322463488
"CL_11" 64.392241712387 3.77096051309791 26.6903639595085 5.14643381500657
"CL_12" 60.404914612472 7.58055791669886 23.7385055250753 8.27602194575381
"CL_13" 56.9662313577003 10.6019627540376 22.038482342941 10.3933235453211
"CL_14" 60.6212811992891 7.25600803647322 23.6844138783711 8.43829688586663
"CL_15" 52.8552662081756 13.1983617958427 20.1839115987945 13.7624603971872
"CL_16" 50.2434124101692 15.5088478479252 20.9566494088556 13.29109033305
"CL_17" 57.607603740051 10.3933235453211 21.443474229194 10.5555984854339
"CL_18" 44.0615099296809 18.151611158334 20.4698245885171 17.317054323468
"Average" 59.5927265036868 7.87135135574815 24.1358554410909 8.40006669947413
