"H_H" "H_L" "L_H" "L_L"
"CL_0" 90.5674846625767 7.20858895705521 2.03220858895706 0.191717791411043
"CL_1" 90.5674846625767 6.97852760736196 2.2239263803681 0.230061349693252
"CL_2" 92.4846625766871 7.36196319018405 0.0766871165644172 0.0766871165644172
"CL_3" 87.6533742331288 7.97546012269939 3.60429447852761 0.766871165644172
"CL_4" 85.0460122699387 9.54754601226994 4.4478527607362 0.958588957055215
"CL_5" 91.9861963190184 7.66871165644172 0.26840490797546 0.0766871165644172
"CL_6" 76.840490797546 17.7914110429448 3.75766871165644 1.61042944785276
"CL_7" 79.9463190184049 11.5414110429448 6.7101226993865 1.8021472392638
"CL_8" 86.0812883435583 10.9279141104294 2.56901840490798 0.421779141104294
"CL_9" 73.2745398773006 15.9509202453988 8.51226993865031 2.26226993865031
"CL_10" 78.680981595092 12.6150306748466 7.1319018404908 1.57208588957055
"CL_11" 91.6411042944785 8.28220858895705 0.0383435582822086 0.0383435582822086
"CL_12" 82.2469325153374 12.8834355828221 3.45092024539877 1.41871165644172
"CL_13" 71.8941717791411 19.0567484662577 7.1319018404908 1.91717791411043
"CL_14" 80.4831288343558 14.340490797546 4.33282208588957 0.843558282208589
"CL_15" 50.3834355828221 16.2193251533742 22.3542944785276 11.0429447852761
"CL_16" 52.4156441717791 21.3957055214724 18.5966257668712 7.5920245398773
"CL_17" 75.1533742331288 18.4815950920245 5.02300613496933 1.3420245398773
"CL_18" 31.3650306748466 15.3374233128834 31.2883435582822 22.0092024539877
"Average" 77.3006134969325 12.7139166935744 7.02897965773329 2.95649015175977
